theta,alpha,alpha0,rho1,rho2,gamma,user
6.062929781525733,-129.90542800788694,103.38488879028118,-12.347229999336463,6.004378839307851,-7.715380714277485,user_1
6.372317133197984,-133.5342447213436,106.83561769277674,-12.29762695190901,6.003871429431721,-7.70020299156036,user_1
7.216600149270004,-119.47881006702366,97.24010014511848,-12.340778216956675,6.00657463362441,-7.588367462753396,user_1
5.448572902327722,-119.74719270815048,98.5386857527468,-12.332686265382844,6.002701477170628,-6.813387837002276,user_1
5.571468118790639,-127.17632591144016,103.52162832721916,-12.313287115289194,6.004405051558379,-7.422516157516843,user_1
6.393589514572621,-129.7171893014629,104.68091902732785,-12.296101025210465,6.003914144162985,-7.737931337103413,user_1
5.7812966557227465,-114.13218153965859,96.51002395238626,-12.290796536753916,6.003095106397381,-7.280503175325396,user_1
5.991006272255621,-140.92959180213057,117.86791227381221,-12.307643237806337,6.012750079855102,-8.502517686374839,user_1
6.38888918630358,-118.59918018748138,102.29793881746544,-12.314289382371053,6.001202424274835,-7.3224939437250915,user_1
5.518007664543664,-121.61005674271092,102.85518197826343,-12.30469356281747,6.003075106776618,-7.1552832047151815,user_1
6.395732429985088,-121.88554283160543,98.91323774886983,-12.232825541358894,6.002794240194151,-7.328072543997128,user_1
6.067521484639477,-126.15599669778607,102.77075597336385,-12.297327384306705,6.004182376673719,-7.982736071974156,user_1
6.335720085267906,-129.21816571481415,103.65301090911592,-12.262036606851701,6.003915562738655,-7.767126959671619,user_1
5.576326581528378,-115.67599870186343,91.05784308103719,-12.302420293186989,6.005142074888792,-7.189844503352381,user_1
6.486208071087431,-113.67486537110901,92.56095606842368,-12.298975381628452,6.004610711758216,-6.980679436351899,user_1
6.261992369289084,-121.74606663868634,96.86306008198295,-12.284019663535325,6.003426394263614,-8.102040702838549,user_1
5.818207643127573,-120.86226485592903,101.81456925582276,-12.320559959790495,6.000749779826659,-6.636287648551044,user_1
6.148358041158236,-124.55049790561814,100.89665804744334,-12.28079656681303,6.003216525821754,-7.774678420834866,user_1
6.420528890263824,-104.72966940615568,81.30056847562017,-12.353036247971861,6.012377152028139,-7.017491230671456,user_1
5.416804052640084,-132.51157932389,107.593293922706,-12.373654794062428,6.006315922227465,-7.158004570393752,user_1
5.943735595574762,-123.8871760534388,102.23972076656874,-12.32365989439899,5.997944040902396,-7.124631219909935,user_1
6.3461314870856365,-99.43665963149414,73.45855702740029,-12.301490568602745,6.005331796558294,-6.663730072812858,user_1
6.01395381690559,-120.9711385630214,102.61117345502369,-12.285013263912695,6.003100547384529,-7.5109049838848145,user_1
7.074665680333974,-120.9670099334597,97.29385495511652,-12.299646698561423,6.004487521413411,-7.502528003711867,user_1
5.837083396764871,-121.06863464488708,103.36717402913997,-12.360663436529293,6.004780475935353,-7.7396224350335245,user_1
5.544870745150217,-115.89266464975344,96.57227677796801,-12.239774947704218,6.003163418321232,-6.872951722585951,user_1
6.466422573267114,-131.56975833697788,105.06862311866603,-12.346472083386058,6.004546368043308,-7.958623026305632,user_1
6.337052224001695,-128.31150981677797,103.94355152435367,-12.33332948448895,6.004131597462502,-7.7751890647899184,user_1
6.292327779476214,-119.16366909893834,98.46549429224761,-12.327285381845074,5.99781411526632,-7.404276698501199,user_1
6.172527365141744,-120.87121299398453,98.91873121421607,-12.248996912884461,5.998589455671863,-7.044565000184412,user_1
5.754576064540358,-112.19305215895722,94.8916105462223,-12.333355797982172,6.005233020234711,-6.665495784922896,user_1
5.650648511999111,-132.1836925107239,105.72179396745257,-12.233612811366855,6.004448677821202,-7.260080878446772,user_1
6.388245148950193,-122.02766353293113,99.6518630345681,-12.358342906710542,5.99826275701302,-7.327824683147212,user_1
5.07293952196274,-109.74253830352909,94.01598728055646,-12.473314782399454,6.0118403883132014,-5.859459208907737,user_2
6.53114375488687,-127.95179086061802,102.01148036334966,-12.36581881532854,6.0042954407973355,-8.068431734955267,user_2
5.4090819772329795,-103.85292874056685,91.76783465297189,-12.31262467967052,6.002893237155945,-5.300723908622896,user_2
6.5101028645959165,-122.36577496139174,99.67872861900655,-12.357572608567077,6.003182848974743,-7.922075310377997,user_2
5.44695321351892,-122.27631099457051,98.9045121466369,-12.365094763936526,6.00361721756842,-7.033298809858192,user_2
6.1902280956737865,-125.47327154381514,102.85824225717603,-12.304532389855344,6.003852943886069,-7.4667935276459465,user_2
5.819242652181069,-119.66594135717045,100.26635127478167,-12.325603159895165,6.002982802723218,-7.224386926314719,user_2
5.876959884785765,-123.56730821665548,102.25028946989528,-12.24260423098754,6.00259516691717,-6.975905407453494,user_2
5.820662804714025,-102.97483200667769,82.56969428219345,-12.377763363360073,6.011489919559494,-6.743867852180247,user_2
6.51707821872837,-115.22932597311669,90.71353116180154,-12.270791439016598,6.00414114737743,-7.201590024279675,user_2
5.495418170471985,-125.99712867337179,97.35457980160405,-12.332312296028517,6.003660330053654,-7.189845132513351,user_2
6.660856645565536,-128.17576304686972,103.54652703997442,-12.371553752708108,5.994453842988201,-7.8330200808602966,user_2
5.829625629042565,-122.6839348959133,100.71272890858685,-12.310971115577127,6.0035714962408235,-7.881368389976015,user_2
6.355570586302153,-126.94955645720476,106.73944342061905,-12.38486204498953,6.004013375441527,-8.101227715174968,user_2
6.38451154615508,-131.2722824833688,104.41379738739299,-12.315213942278985,6.004197284513249,-8.032474755890595,user_2
6.011340666674295,-120.30504492303453,98.00295278817137,-12.271788747497801,6.002768038703255,-7.03023652331747,user_2
6.113018340942088,-116.49518767847825,97.81610446772788,-12.269595053433454,6.001634743188949,-6.8989407723492135,user_2
6.003532315183827,-118.64993927342526,95.52487813678378,-12.275294904380228,6.0035204810611855,-7.630266358878747,user_2
6.056891454668116,-117.0835484892723,99.6542115807214,-12.36040009791133,6.000561878274027,-7.002852155631042,user_2
6.295345526083123,-129.20342453317252,107.32365400153586,-12.312175753283942,6.004698041760334,-7.644231601842804,user_2
6.289846993539885,-125.28358158532637,106.12245659926475,-12.321371909034843,6.00472830765933,-7.606390290543479,user_2
6.157419626967648,-119.26681040396471,101.99253952170454,-12.373168511954741,6.000505292634558,-7.012398850718024,user_2
6.15111887090607,-122.87073936394253,99.44912504021892,-12.383403937650801,6.0032307333375865,-7.536755373375694,user_2
6.173188801393402,-124.56356865459779,99.29541785685016,-12.198248448369167,6.0029748061832535,-7.870259175867241,user_2
6.516414067232283,-122.97709816586543,100.78751323241076,-12.369401328135202,6.00343252560618,-8.169614429450519,user_2
5.238028033193625,-105.38546073412672,88.98824088397716,-12.296609409951433,6.004885328290248,-6.167154464699971,user_2
6.132286404772413,-128.01143493675207,108.41875634844479,-12.326225149559829,6.004300560642321,-8.032403774927465,user_2
6.091355749999513,-111.3882026529155,97.57925796734503,-12.38828712134365,6.007220945189362,-6.531732483431927,user_2
5.076545378642338,-119.74444408852065,101.75275263691,-12.390681761641332,6.002035303194646,-6.493990165289223,user_2
5.819502590117837,-127.24727070337367,107.97857980301245,-12.330326956365022,6.005764135623595,-7.299528938696293,user_2
6.085215500265772,-128.9641652305967,105.12901059427115,-12.322421363009365,6.004265042541337,-7.588794838844218,user_2
6.438267188305763,-121.43391082971517,101.2865491847587,-12.29418232451881,5.9977897118725005,-7.408639055126776,user_2
6.410865774438505,-130.0647452511088,111.12171880519136,-12.329378889549716,6.005031192055758,-7.8727586934846645,user_2
6.0684797211692585,-122.85194968522465,100.86486210763775,-12.31038605226912,6.003114991532525,-7.256292786370291,user_2
5.747818271810262,-127.60024064376364,105.09621391177785,-12.39729580030259,6.005514469569982,-7.6077657690540965,user_2
5.202637264098544,-108.14650983414455,92.75184844340771,-12.4181239216121,6.012035844252271,-6.3706696017729865,user_2
4.9470154212274,-122.39173816731852,99.96017527530564,-12.457859050780517,6.003505448663602,-6.55400894347129,user_2
5.999827352726983,-116.16036743995141,98.50476390726381,-12.284874614844231,6.002028133080445,-6.834507046732157,user_2
5.764790666794833,-128.6067979378149,104.14673574929006,-12.350386333848475,6.005045317140229,-8.528517257735812,user_2
6.131107434260143,-125.07871046071556,102.65442532429148,-12.359032682544271,5.9961571265815214,-7.281603207044887,user_2
6.068329458281739,-110.82765701865725,83.09484457555983,-12.369746369629159,6.0101028148434334,-6.692316526111748,user_2
5.764969905808085,-119.67438477726854,101.59785867474703,-12.259470616400318,6.00254070877218,-7.0964854470324825,user_2
6.2233638547830035,-113.5657197495417,92.27591093388601,-12.29289364071111,5.998521039983654,-6.900822368145557,user_2
6.307680158943804,-126.58076968248966,100.7093478764379,-12.293144662491995,6.003438873867192,-8.212828559258519,user_2
5.857995030507357,-130.3304023130664,111.5959399549372,-12.349094666367874,6.007922313306293,-6.961969814105731,user_2
6.081464583453386,-131.11507225309862,103.28802827908332,-12.357087377673668,6.00427305728774,-8.101566672994949,user_2
5.884614970658755,-109.88556799258797,93.4566643694016,-12.330832595921686,6.010465050282498,-6.184019453879709,user_2
6.1248384406719065,-120.17897097206131,100.25877280234509,-12.313132212656669,5.998874914595392,-7.046478242671869,user_2
5.782948086499086,-128.6136676685591,107.21166097624273,-12.284813825700866,6.004339303253382,-8.310917012305401,user_2
5.645961825442844,-104.35978715501267,92.47662663639036,-12.340585740779172,6.004108816195294,-6.201592138091482,user_2
6.8415356917597085,-124.13005315847073,102.52119976560053,-12.326877331255034,5.998200364381259,-7.847577975213184,user_2
4.774759439833982,-117.70436494388017,100.11902263435154,-12.35319177982154,6.003109134318997,-6.783377068670844,user_2
4.691640860364504,-104.7504266300434,90.88727825186332,-12.394894323054693,6.00383042729499,-4.802088496375726,user_2
6.272368246369942,-117.77315399354507,98.61289330876917,-12.335996368250397,5.9992444805349265,-7.193351140111142,user_2
5.468461753165888,-127.05699295458513,102.60475213026521,-12.362555219709526,6.005044823673367,-7.911734761939144,user_2
5.826290908283052,-122.73476745221566,101.13395089523533,-12.295970569044272,6.002965240021247,-7.216748211647962,user_2
5.485799020271857,-111.9782392369278,96.32028176069397,-12.31505574491569,6.00910524210237,-6.019763999494018,user_2
6.046885256159917,-108.85438222257933,84.53835564461079,-12.340848188325412,6.0105185849863,-6.849717030202437,user_2
6.203829436611546,-136.04138502015832,116.23350312098842,-12.378235320382762,6.013552517759402,-7.16094494079096,user_2
6.086828593692071,-117.52038497423922,97.56165619919523,-12.377150656915916,5.99989310566946,-6.863719167273671,user_2
6.20931547477625,-122.55531743548833,103.25562771650705,-12.302285283049056,6.003848124197143,-7.690379986738442,user_2
5.379626098106358,-109.82699569017578,96.59412419462308,-12.359266480466031,6.011946809191705,-5.8099598267939285,user_2
5.385275257728042,-140.5396750692981,121.31236042033713,-12.300402303935876,6.0120461752962235,-7.198828022684798,user_2
5.843521041618218,-122.26128529468045,98.25564270950198,-12.370516151892017,6.0034615975676795,-7.433602640233128,user_2
5.294032410541085,-148.45411497948146,120.61232652982648,-12.432986623874328,6.014845539023182,-7.9916516868846115,user_2
6.467953533245844,-118.673442944528,100.0212256162086,-12.4012376119853,6.000135165220028,-7.288243621942108,user_2
6.098317263459432,-138.99187710807692,121.55692862874577,-12.29889001969948,6.014122822712897,-7.727297424157574,user_2
5.892406010761287,-124.18636366212726,101.4418932668939,-12.384125329131656,6.0029628204414,-7.122787653797831,user_2
6.042519436590903,-133.312041746449,105.33353413745854,-12.347953733982882,6.0045759852811,-7.637628820811111,user_2
6.149196594647485,-129.46981934750687,104.67230261340434,-12.317294255962047,6.004233334354804,-7.771248958631786,user_2
6.263875593925141,-119.40916701063655,98.83359542758409,-12.330944063610014,5.995264219209195,-7.40167106191405,user_2
6.041190997274062,-116.82197080084336,97.45501039202881,-12.264059696010056,6.002857096520775,-7.080391503487362,user_2
5.733820490508766,-119.40647045724108,100.20692320586618,-12.349041030586799,5.998175245077805,-6.945924129850589,user_2
6.0726652649811275,-129.89200960498277,103.38891315528326,-12.366979886701442,6.0043836971593985,-7.714571099626267,user_2
6.422833569757817,-133.41992657809232,106.79724597920463,-12.390781529726805,6.004052750436735,-7.690971934631133,user_2
7.25241825381502,-119.4632557238013,97.25867111571708,-12.399733379509025,6.003918785383563,-7.5874706415523425,user_2
5.455776474983769,-119.73043828928961,98.5428394454016,-12.35066762374757,6.0027081410240015,-6.811691369121935,user_2
5.599115670289636,-127.1258446832387,103.52063883130418,-12.363850649777158,6.004410835802354,-7.4182594006741365,user_2
6.417566716424049,-129.67223861891395,104.67350869356336,-12.337088385162032,6.004076272917025,-7.734744246983783,user_2
5.830589426261353,-114.11414431618012,96.63125539759011,-12.390978166746903,6.003182337180541,-7.269394829092018,user_2
5.989999410130628,-140.92723352188628,117.87367179004896,-12.309290566885155,6.012739889440823,-8.502849235412203,user_2
5.531924944914488,-121.55487396081983,102.84591757557787,-12.334882018783167,6.003102225749298,-7.15106119171647,user_2
6.496272376386178,-121.70393576434797,98.96243755214907,-12.388126220010214,5.996390714253364,-7.326281859953594,user_2
6.084235833768196,-126.13805155173922,102.77166494728672,-12.324220107497394,6.004352710879794,-7.982056119732685,user_2
6.391148893583803,-129.1469741057025,103.64254782069719,-12.346110673143212,6.004117729750046,-7.761786803710353,user_2
6.751272394835118,-132.21971073677906,106.60958228627423,-12.294400121118178,6.004142308057188,-8.02992801020941,user_2
5.584327591922711,-115.71645166404585,91.16179439376153,-12.325393251847752,6.0052908690261,-7.186162052550418,user_2
6.447080774133375,-113.25508022011918,92.02655828124561,-12.237665034926342,6.002422274778847,-6.982077627295282,user_2
6.234345096921036,-121.75762830271154,96.85740789380064,-12.25515915933183,6.003385500874208,-8.103243191677304,user_2
5.809613188129048,-120.86843357321901,101.81633258289536,-12.31062986738768,6.000441994879308,-6.638032862713792,user_2
